sequence,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBzhB5nB9tBzrBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBTjB/rBNsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBGjBTmBXsBTtBlsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFFhBXiBTjBxrBTtBSxB,v115@9gA8IeB8HeD8FeE8OeRAJvhFtmBTjBmlBXsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhB5nBTjBmrBTtB8rB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRiBGnBzrBXtB9tB,v115@9gA8IeB8HeD8FeE8OeRAJvhFzhB6oBmlBzrBUtBtsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBimB9sBGmBTtBXsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBSnB/rB9tBTsBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBxiB/rBNsBTtBCtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBTmB9tBXsBmsBCtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBtnBTmBesBXtB6tB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjBzmB9tBGnBRxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFZnBtnBTmBXtB6tBGrB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBxmBFmBXnBSxBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRnB9tBGnBzrBXtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhB/rBxnBNsBTtBCtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBNnB/rBToBCoBxxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjB+tBRsBtrBTsB
OIJOLST,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIJOLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIJOLZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIJOLZS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIJOSTL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIJOSTZ,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIJOSLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIJOSLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIJOSZT,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIJOSZL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIJOZTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIJOZTS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIJOZLT,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OIJOZLS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIJOZST,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIJOZSL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISTLJZ,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X
OISTLJO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OISTLZJ,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X
OISTLZO,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
OISTLOJ,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OISTLOZ,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
OISTJLZ,X,O,X,X,O,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X
OISTJLO,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OISTJZL,X,O,X,X,O,O,X,X,X,O,O,O,X,O,O,X,X,O,O,X
OISTJZO,X,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,O,O,X
OISTJOL,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISTJOZ,X,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
OISTZLJ,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X
OISTZLO,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
OISTZJL,X,O,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O,X
OISTZJO,X,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X
OISTZOL,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OISTZOJ,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X
OISTOLJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISTOLZ,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OISTOJL,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISTOJZ,X,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
OISTOZL,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OISTOZJ,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X
OISLTJZ,O,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
OISLTJO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISLTZJ,O,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
OISLTZO,O,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OISLTOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISLTOZ,O,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OISLJTZ,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
OISLJTO,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OISLJZT,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X
OISLJZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISLJOT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISLJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISLZTJ,O,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
OISLZTO,O,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OISLZJT,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X
OISLZJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISLZOT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISLZOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISLOTJ,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISLOTZ,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISLOJT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISLOJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISLOZT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISLOZJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISJTLZ,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X
OISJTLO,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
OISJTZL,X,O,X,X,O,O,X,X,X,O,O,O,O,X,O,X,X,O,O,X
OISJTZO,X,O,X,O,O,O,X,X,X,O,O,O,O,X,X,X,X,O,O,X
OISJTOL,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
OISJTOZ,X,O,X,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,O,X
OISJLTZ,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X
OISJLTO,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
OISJLZT,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X
OISJLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISJLOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISJLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISJZTL,X,O,X,X,O,O,X,X,X,O,O,O,O,X,O,X,X,O,O,X
OISJZTO,X,O,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,O,O,X
OISJZLT,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,O,O,X
OISJZLO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISJZOT,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X
OISJZOL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISJOTL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OISJOTZ,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
OISJOLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISJOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISJOZT,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X
OISJOZL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISZTLJ,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X
OISZTLO,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
OISZTJL,X,O,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O,X
OISZTJO,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X
OISZTOL,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OISZTOJ,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X
OISZLTJ,O,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
OISZLTO,O,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OISZLJT,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X
OISZLJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISZLOT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISZLOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISZJTL,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,O,O,X
OISZJTO,X,O,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X
OISZJLT,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X
OISZJLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISZJOT,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
OISZJOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISZOTL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OISZOTJ,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
OISZOLT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISZOLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISZOJT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
OISZOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOTLJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISOTLZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OISOTJL,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISOTJZ,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X
OISOTZL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OISOTZJ,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
OISOLTJ,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISOLTZ,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISOLJT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOLZT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISOLZJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOJTL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOJTZ,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
OISOJLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOJLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOJZT,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
OISOJZL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOZTL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OISOZTJ,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
OISOZLT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OISOZLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOZJT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
OISOZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZTLJS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OIZTLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OIZTLSJ,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X
OIZTLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OIZTLOJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OIZTLOS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OIZTJLS,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OIZTJLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OIZTJSL,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X,O,X
OIZTJSO,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X
OIZTJOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZTJOS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZTSLJ,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,X,O,X,O,X
OIZTSLO,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
OIZTSJL,X,O,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O,X
OIZTSJO,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X
OIZTSOL,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OIZTSOJ,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X
OIZTOLJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OIZTOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OIZTOJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZTOJS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZTOSL,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OIZTOSJ,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
OIZLTJS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OIZLTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OIZLTSJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X
OIZLTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OIZLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OIZLTOS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OIZLJTS,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OIZLJTO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZLJST,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIZLJSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZLJOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OIZLJOS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZLSTJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
OIZLSTO,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
OIZLSJT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
OIZLSJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZLSOT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZLSOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZLOTS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OIZLOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZLOJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZLOST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZLOSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZJTLS,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OIZJTLO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZJTSL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
OIZJTSO,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
OIZJTOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJTOS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJLTS,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OIZJLTO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZJLST,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIZJLSO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJLOT,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZJLOS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJSTL,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,O,O,X
OIZJSTO,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X
OIZJSLT,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X
OIZJSLO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJSOT,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X
OIZJSOL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJOTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJOTS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJOLT,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZJOLS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJOST,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIZJOSL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSTLJ,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X
OIZSTLO,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
OIZSTJL,X,O,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O,X
OIZSTJO,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X
OIZSTOL,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OIZSTOJ,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X
OIZSLTJ,O,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
OIZSLTO,O,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OIZSLJT,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X
OIZSLJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSLOT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OIZSLOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSJTL,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,O,O,X
OIZSJTO,X,O,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X
OIZSJLT,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X
OIZSJLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSJOT,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
OIZSJOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSOTL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OIZSOTJ,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
OIZSOLT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OIZSOLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSOJT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
OIZSOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOTLJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OIZOTLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OIZOTJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOTJS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOTSL,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OIZOTSJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
OIZOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZOLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OIZOLJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZOLJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZOLST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZOLSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OIZOJTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJTS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJLT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJLS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJST,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIZOJSL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOSTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIZOSTJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
OIZOSLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOSJT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
OIZOSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLJZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OIOTLZJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OIOTLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OIOTJLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJLZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTSLZ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OIOTSJL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTSJZ,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
OIOTSZL,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
