sequence,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlBumB3iBtqBXsBarB,v115@GhA8HeD8FeD8EeC8JeT/IvhFihB3iB9qBcrBXsBOqB,v115@GhA8HeD8FeD8EeC8Jei/IvhFRhB3iBTmB0qBXsBFqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF0gBlhB3iBxqBXsB2vB,v115@GhA8HeD8FeD8EeC8JeT/IvhFNlBUhBunB3qB3rBasB,v115@GhA8HeD8FeD8EeC8JeT/IvhFdmBRiBCnB0qBXsBOqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF0hBliBxqBXsBKqBfrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlB0hBliBCrBXsBfrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFRhBunB/rBasB0qBNqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF3iBxlB0lBlmB2vBXsB,v115@GhA8HeD8FeD8EeC8JeT/IvhFamBumB3iB0qBXsBNqB,v115@GhA8HeD8FeD8EeC8Jex/IvhFihB3iB9qBcrBXsBmpB,v115@GhA8HeD8FeD8EeC8JeT/IvhFNlBymBunBfsB3qBUrB,v115@GhA8HeD8FeD8EeC8JeiBJvhF3iBxkBcrB9qBXsBmpB,v115@GhA8HeD8FeD8EeC8JeT/IvhF3hBunBdsBiqB/qBUrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFUhBunBdsBiqB/qB3rB,v115@GhA8HeD8FeD8EeC8Je3CJvhFxkBdrBqrBmkBUnB3qB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlB3hB3iBUrBFsBuqB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlBWmB3iB8qBFsB3rB,v115@GhA8HeD8FeD8EeC8Jei/IvhF3iBUlBxrBFrB3qBzrB
STLSIJZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
STLSIJO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STLSIZJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
STLSIZO,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
STLSIOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STLSIOZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STLSJIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLSJIO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STLSJZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLSJZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STLSJOI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STLSJOZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STLSZIJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STLSZIO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STLSZJI,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STLSZJO,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STLSZOI,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STLSZOJ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STLSOIJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STLSOIZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STLSOJI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STLSOJZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STLSOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STLSOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZIJS,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,O
STLZIJO,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,O
STLZISJ,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,O
STLZISO,X,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
STLZIOJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
STLZIOS,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,O
STLZJIS,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
STLZJIO,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
STLZJSI,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
STLZJSO,X,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
STLZJOI,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
STLZJOS,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X
STLZSIJ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STLZSIO,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STLZSJI,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STLZSJO,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STLZSOI,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STLZSOJ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
STLZOIJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
