sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhBTjBxrB8rB+sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
SJLOSZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
SJLOSZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJLOZTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJLOZTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SJLOZIT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SJLOZIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SJLOZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJLOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJSTILZ,X,X,X,X,O,X,X,X,X,X,X,O,O,X
SJSTILO,X,X,X,X,O,X,X,X,X,X,X,O,O,X
SJSTIZL,X,X,X,X,O,O,O,X,X,X,X,O,O,O
SJSTIZO,X,X,X,X,O,O,O,X,X,X,X,O,O,O
SJSTIOL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
SJSTIOZ,X,X,X,X,O,X,O,X,X,X,X,O,O,X
SJSTLIZ,X,X,X,X,O,X,X,X,O,X,X,O,O,X
SJSTLIO,X,X,X,X,O,X,X,X,O,X,X,O,O,X
SJSTLZI,X,X,X,X,O,X,X,X,O,X,X,O,O,X
SJSTLZO,X,X,X,X,O,X,X,X,O,X,X,O,O,X
SJSTLOI,X,X,X,X,O,X,X,O,O,X,X,O,O,X
SJSTLOZ,X,X,X,X,O,X,X,O,O,X,X,O,O,X
SJSTZIL,X,X,O,X,O,X,X,X,X,X,X,O,O,O
SJSTZIO,X,O,O,X,O,X,X,X,X,X,X,O,O,O
SJSTZLI,X,X,O,X,O,X,X,X,O,X,X,O,O,X
SJSTZLO,X,X,O,X,O,X,X,X,O,X,X,O,O,X
SJSTZOI,X,O,O,X,O,X,X,X,X,X,X,O,O,X
SJSTZOL,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SJSTOIL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
SJSTOIZ,X,O,X,X,O,X,O,X,X,X,X,O,O,X
SJSTOLI,X,X,X,X,O,X,X,O,X,X,X,O,O,X
SJSTOLZ,X,X,X,X,O,X,X,O,X,X,X,O,O,X
SJSTOZI,X,O,O,X,O,X,X,X,X,X,X,O,O,X
SJSTOZL,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SJSITLZ,X,X,X,X,O,X,X,X,X,X,X,O,O,X
SJSITLO,X,X,X,X,O,X,X,X,X,X,X,O,O,X
SJSITZL,X,X,X,X,O,O,O,X,X,X,X,O,O,O
SJSITZO,X,X,X,X,O,O,O,X,X,X,X,O,O,O
SJSITOL,X,X,X,X,O,X,X,X,X,X,X,O,X,X
SJSITOZ,X,X,X,X,O,X,O,X,X,X,X,O,O,X
SJSILTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X
SJSILTO,X,X,X,X,O,X,X,X,O,X,X,X,X,X
SJSILZT,X,X,X,X,X,X,X,X,O,X,X,X,X,O
SJSILZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJSILOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJSILOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJSIZTL,X,X,X,X,O,O,O,X,X,X,X,O,O,O
SJSIZTO,X,O,X,X,O,O,O,X,X,X,X,O,O,O
SJSIZLT,X,X,X,X,X,O,O,X,O,X,X,X,X,O
SJSIZLO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
SJSIZOT,X,O,X,X,O,O,O,X,X,X,X,O,X,O
SJSIZOL,X,O,X,X,X,O,O,X,X,X,X,X,X,X
SJSIOTL,X,X,X,X,O,X,X,X,X,X,X,O,X,X
SJSIOTZ,X,O,X,X,O,X,O,X,X,X,X,O,X,X
SJSIOLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJSIOLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJSIOZT,X,O,X,X,O,X,O,X,X,X,X,O,X,O
SJSIOZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SJSLTIZ,X,X,X,X,O,X,X,X,O,X,X,O,O,X
SJSLTIO,X,X,X,X,O,X,X,X,O,X,X,O,O,X
SJSLTZI,X,X,X,X,O,X,X,X,O,X,X,O,O,X
SJSLTZO,X,X,X,X,O,X,X,X,O,X,X,O,O,X
SJSLTOI,X,X,X,X,O,X,X,X,O,X,X,O,O,X
SJSLTOZ,X,X,X,X,O,X,X,X,O,X,X,O,O,X
SJSLITZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X
SJSLITO,X,X,X,X,O,X,X,X,O,X,X,X,X,X
SJSLIZT,X,X,X,X,X,X,X,X,O,X,X,X,X,O
SJSLIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJSLIOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJSLIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJSLZTI,X,X,X,X,X,X,X,X,O,X,X,O,O,X
SJSLZTO,X,X,X,X,X,X,X,X,O,X,X,O,O,X
SJSLZIT,X,X,X,X,X,X,X,X,O,X,X,X,X,O
SJSLZIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJSLZOT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
SJSLZOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJSLOTI,X,X,X,X,O,X,X,X,O,X,X,O,X,X
SJSLOTZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X
SJSLOIT,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJSLOIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJSLOZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
SJSLOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJSZTIL,X,X,O,X,O,X,X,X,X,X,X,O,O,O
SJSZTIO,X,O,O,X,O,X,X,O,X,X,X,O,O,O
SJSZTLI,X,X,O,X,O,X,X,X,O,X,X,O,O,X
SJSZTLO,X,X,O,X,O,X,X,O,O,X,X,O,O,X
SJSZTOI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJSZTOL,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SJSZITL,X,X,O,X,O,X,X,X,X,X,X,O,O,O
SJSZITO,X,O,O,X,O,X,X,X,X,X,X,O,O,O
SJSZILT,X,X,O,X,X,X,X,X,O,X,X,X,X,O
SJSZILO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJSZIOT,X,O,O,X,O,X,X,X,X,X,X,O,X,O
SJSZIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJSZLTI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SJSZLTO,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SJSZLIT,X,X,O,X,X,X,X,X,O,X,X,X,X,O
SJSZLIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJSZLOT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SJSZLOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJSZOTI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJSZOTL,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJSZOIT,X,O,O,X,O,X,X,X,X,X,X,O,X,O
SJSZOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJSZOLT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SJSZOLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJSOTIL,X,O,X,X,O,X,X,O,X,X,X,O,X,X
SJSOTIZ,X,O,X,X,O,X,O,X,X,X,X,O,O,X
SJSOTLI,X,O,X,X,O,X,X,O,X,X,X,O,O,X
SJSOTLZ,X,O,X,X,O,X,X,O,X,X,X,O,O,X
SJSOTZI,X,O,O,X,O,X,X,X,X,X,X,O,O,X
SJSOTZL,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJSOITL,X,O,X,X,O,X,X,X,X,X,X,O,X,X
SJSOITZ,X,O,X,X,O,X,O,X,X,X,X,O,X,X
SJSOILT,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJSOILZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJSOIZT,X,O,X,X,O,X,O,X,X,X,X,O,X,O
SJSOIZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SJSOLTI,X,X,X,X,O,X,X,X,O,X,X,O,X,X
SJSOLTZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X
SJSOLIT,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJSOLIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJSOLZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
SJSOLZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJSOZTI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJSOZTL,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJSOZIT,X,O,O,X,O,X,X,X,X,X,X,O,X,O
SJSOZIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJSOZLT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SJSOZLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJZTILS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZTILO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZTISL,X,X,X,X,X,X,O,X,X,X,X,X,O,X
SJZTISO,X,O,X,X,X,X,O,O,X,X,X,X,O,X
SJZTIOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZTIOS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SJZTLIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZTLIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZTLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZTLSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SJZTLOI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SJZTLOS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SJZTSIL,X,X,O,X,O,X,X,X,X,X,X,O,O,X
SJZTSIO,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJZTSLI,X,X,O,X,O,X,X,X,X,X,X,O,O,X
SJZTSLO,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SJZTSOI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJZTSOL,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SJZTOIL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZTOIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SJZTOLI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SJZTOLS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SJZTOSI,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SJZTOSL,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SJZITLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZITLO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZITSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
SJZITSO,X,O,X,X,X,X,O,O,X,X,X,X,X,X
SJZITOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZITOS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SJZILTS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZILTO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZILST,X,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZILSO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
SJZILOT,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZILOS,X,O,X,O,X,X,O,X,X,X,X,X,X,X
SJZISTL,X,X,X,X,O,X,O,X,X,X,X,X,X,O
SJZISTO,X,O,O,X,O,X,O,X,X,X,X,X,X,O
SJZISLT,X,X,X,X,X,X,O,X,X,X,X,X,X,O
SJZISLO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SJZISOT,X,O,O,X,O,X,O,X,X,X,X,X,X,O
SJZISOL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SJZIOTL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZIOTS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SJZIOLT,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZIOLS,X,O,X,O,X,X,O,X,X,X,X,X,X,X
SJZIOST,X,O,O,X,O,X,O,X,X,X,X,X,X,X
SJZIOSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SJZLTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZLTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZLTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZLTSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SJZLTOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZLTOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SJZLITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZLITO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZLIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZLISO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJZLIOT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SJZLIOS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SJZLSTI,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SJZLSTO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SJZLSIT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SJZLSIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJZLSOT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SJZLSOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJZLOTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZLOTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SJZLOIT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SJZLOIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SJZLOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZLOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZSTIL,X,X,O,X,O,X,X,X,X,X,X,O,O,O
SJZSTIO,X,O,O,X,O,X,X,O,X,X,X,O,O,O
SJZSTLI,X,X,O,X,O,X,X,X,O,X,X,O,O,X
SJZSTLO,X,X,O,X,O,X,X,O,O,X,X,O,O,X
SJZSTOI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJZSTOL,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SJZSITL,X,X,O,X,O,X,X,X,X,X,X,O,O,O
SJZSITO,X,O,O,X,O,X,X,X,X,X,X,O,O,O
SJZSILT,X,X,O,X,X,X,X,X,O,X,X,X,X,O
SJZSILO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJZSIOT,X,O,O,X,O,X,X,X,X,X,X,O,X,O
SJZSIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJZSLTI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SJZSLTO,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SJZSLIT,X,X,O,X,X,X,X,X,O,X,X,X,X,O
SJZSLIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJZSLOT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SJZSLOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJZSOTI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJZSOTL,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJZSOIT,X,O,O,X,O,X,X,X,X,X,X,O,X,O
SJZSOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJZSOLT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SJZSOLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJZOTIL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZOTIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SJZOTLI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SJZOTLS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SJZOTSI,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SJZOTSL,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SJZOITL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZOITS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SJZOILT,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJZOILS,X,O,X,O,X,X,O,X,X,X,X,X,X,X
SJZOIST,X,O,O,X,O,X,O,X,X,X,X,X,X,X
SJZOISL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SJZOLTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZOLTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SJZOLIT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SJZOLIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SJZOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZOLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJZOSTI,X,O,O,X,O,X,X,O,X,X,X,O,X,X
SJZOSTL,X,O,O,X,O,X,X,O,X,X,X,O,X,X
SJZOSIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X
SJZOSIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJZOSLT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
SJZOSLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJOTILS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOTILZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
SJOTISL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
SJOTISZ,X,O,X,X,O,O,O,X,X,X,X,O,O,X
SJOTIZL,O,X,X,X,X,O,O,X,X,X,X,X,X,X
SJOTIZS,X,O,X,X,X,O,O,X,X,X,X,X,X,X
SJOTLIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOTLIZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
SJOTLSI,X,X,X,X,O,X,X,O,X,X,X,O,X,X
SJOTLSZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X
SJOTLZI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SJOTLZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
SJOTSIL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
SJOTSIZ,X,O,X,X,O,X,O,X,X,X,X,O,O,X
SJOTSLI,X,X,X,X,O,X,X,O,X,X,X,O,O,X
SJOTSLZ,X,X,X,X,O,X,X,O,X,X,X,O,O,X
SJOTSZI,X,O,O,X,O,X,X,X,X,X,X,O,O,X
SJOTSZL,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SJOTZIL,O,X,X,X,X,X,O,X,X,X,X,X,X,X
SJOTZIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SJOTZLI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SJOTZLS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SJOTZSI,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SJOTZSL,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SJOITLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SJOITLZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SJOITSL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
SJOITSZ,X,O,X,X,O,O,O,X,X,X,X,O,X,X
SJOITZL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SJOITZS,X,O,X,X,X,O,O,X,X,X,X,X,X,X
SJOILTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SJOILTZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SJOILST,X,X,X,O,O,X,X,X,X,X,X,X,X,X
SJOILSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
SJOILZT,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SJOILZS,X,O,X,O,X,O,O,X,X,X,X,X,X,X
SJOISTL,X,O,X,X,O,X,X,X,X,X,X,O,X,X
SJOISTZ,X,O,X,X,O,O,O,X,X,X,X,O,X,X
SJOISLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJOISLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJOISZT,X,O,X,X,O,O,O,X,X,X,X,O,X,O
SJOISZL,X,O,X,X,X,O,O,X,X,X,X,X,X,X
SJOIZTL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SJOIZTS,X,O,X,X,X,O,O,O,X,X,X,X,X,X
SJOIZLT,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SJOIZLS,X,O,X,O,X,O,O,X,X,X,X,X,X,X
SJOIZST,X,O,X,X,O,O,O,X,X,X,X,X,X,X
SJOIZSL,X,O,X,X,X,O,O,X,X,X,X,X,X,X
SJOLTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOLTIZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
SJOLTSI,X,X,X,X,O,X,X,O,X,X,X,O,X,X
SJOLTSZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X
SJOLTZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOLTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOLITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOLITZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
SJOLIST,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJOLISZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJOLIZT,O,X,X,X,X,X,O,X,X,O,X,X,X,X
SJOLIZS,X,O,X,X,X,X,O,X,X,O,X,X,X,X
SJOLSTI,X,X,X,X,O,X,X,X,O,X,X,O,X,X
SJOLSTZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X
SJOLSIT,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJOLSIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJOLSZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
SJOLSZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJOLZTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOLZTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SJOLZIT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SJOLZIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SJOLZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOLZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOSTIL,X,O,X,X,O,X,X,O,X,X,X,O,X,X
SJOSTIZ,X,O,X,X,O,X,O,X,X,X,X,O,O,X
SJOSTLI,X,O,X,X,O,X,X,O,X,X,X,O,O,X
SJOSTLZ,X,O,X,X,O,X,X,O,X,X,X,O,O,X
SJOSTZI,X,O,O,X,O,X,X,X,X,X,X,O,O,X
SJOSTZL,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJOSITL,X,O,X,X,O,X,X,X,X,X,X,O,X,X
SJOSITZ,X,O,X,X,O,X,O,X,X,X,X,O,X,X
SJOSILT,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJOSILZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJOSIZT,X,O,X,X,O,X,O,X,X,X,X,O,X,O
SJOSIZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SJOSLTI,X,X,X,X,O,X,X,X,O,X,X,O,X,X
SJOSLTZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X
SJOSLIT,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SJOSLIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJOSLZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
SJOSLZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SJOSZTI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJOSZTL,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SJOSZIT,X,O,O,X,O,X,X,X,X,X,X,O,X,O
SJOSZIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJOSZLT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SJOSZLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJOZTIL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJOZTIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SJOZTLI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SJOZTLS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SJOZTSI,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SJOZTSL,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SJOZITL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJOZITS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SJOZILT,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SJOZILS,X,O,X,O,X,X,O,X,X,X,X,X,X,X
SJOZIST,X,O,O,X,O,X,O,X,X,X,X,X,X,X
SJOZISL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SJOZLTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOZLTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SJOZLIT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SJOZLIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SJOZLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOZLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SJOZSTI,X,O,O,X,O,X,X,O,X,X,X,O,X,X
SJOZSTL,X,O,O,X,O,X,X,O,X,X,X,O,X,X
SJOZSIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X
SJOZSIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SJOZSLT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
SJOZSLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SSTILJZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
SSTILJO,O,X,X,X,X,X,X,X,X,X,X,O,O,X
SSTILZJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X
SSTILZO,O,X,X,X,X,X,X,X,X,X,X,O,O,X
