sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhBTjBxrB8rB+sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
STIZSOJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X
STIZOLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
STIZOLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X
STIZOJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIZOJS,X,X,O,X,X,O,O,X,X,X,X,X,X,X
STIZOSL,O,X,O,O,X,X,X,X,X,X,X,O,X,X
STIZOSJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X
STIOLJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIOLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIOLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIOLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIOLZJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
STIOLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIOJLZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIOJSL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STIOJSZ,X,X,X,X,O,O,O,X,X,X,X,O,O,X
STIOJZL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIOJZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STIOSLJ,O,X,X,O,X,X,X,X,X,X,X,O,X,X
STIOSLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X
STIOSJL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STIOSJZ,X,X,X,X,O,O,O,X,X,X,X,O,O,X
STIOSZL,O,X,O,O,X,X,X,X,X,X,X,O,X,X
STIOSZJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X
STIOZLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
STIOZLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X
STIOZJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIOZJS,X,X,O,X,X,O,O,X,X,X,X,X,X,X
STIOZSL,O,X,O,O,X,X,X,X,X,X,X,O,X,X
STIOZSJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X
STLIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STLIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STLIJZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STLIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIJOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STLISJZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STLISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLISZJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X
