sequence,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBzhB5nB9tBzrBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBGjBTmBXsBTtBlsB,v115@9gA8IeB8HeD8FeE8OeFAJvhFxhBTjBUmBXsBTtBGsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFFhBXiBTjBxrBTtBSxB,v115@9gA8IeB8HeD8FeE8OeRAJvhFtmBTjBmlBXsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhBTjBxrBTtB8rB+sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhB5nBTjBmrBTtB8rB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRiBGnBzrBXtB9tB,v115@9gA8IeB8HeD8FeE8OeRAJvhFzhB6oBmlBzrBUtBtsB,v115@9gA8IeB8HeD8FeE8OeRAJvhFXiBTjBmlB9sBqrBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBimB9sBGmBTtBXsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBTjB/rBNsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBumBTjBXsBTtB9sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBxmBFmBXnBSxBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRnB9tBGnBzrBXtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBtnBTmBesBXtB6tB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjBzmB9tBGnBRxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjB+tBRsBtrBTsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBSnB/rB9tBTsBOtB
OTIZJSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTIZJOL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIZJOS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIZSLJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O
OTIZSLO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZSJL,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZSJO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZSOL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZSOJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZOLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTIZOLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZOJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIZOJS,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIZOSL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIZOSJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOLJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLZJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTIOLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJLZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJSL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTIOJSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJZL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJZS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOSLJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOSLZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOSJL,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OTIOSJZ,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OTIOSZL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOSZJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOZLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTIOZLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOZJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOZJS,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOZSL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOZSJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTLIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
OTLIJZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
