sequence,v115@GhA8HeB8FeD8EeE8JeZFJvhFzgBumB3iBNpBzqB6pB,v115@GhA8HeB8FeD8EeE8JeT/IvhFihB3iB9qBcrBTpBOqB,v115@GhA8HeB8FeD8EeE8Jei/IvhFRhB3iBTmBTpB0qBFqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBlhB3iBTpBxqB2vB,v115@GhA8HeB8FeD8EeE8JeT/IvhFdmBRiBCnBTpB0qBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFZlB0hBliBTpBCrBfrB,v115@GhA8HeB8FeD8EeE8JeRAJvhFumB3iBilB0pBzqBNpB,v115@GhA8HeB8FeD8EeE8JeOEJvhFzgBRiBCnB3pBzqBdqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBNqBGmBimBTpB0qB,v115@GhA8HeB8FeD8EeE8JeuGJvhF3iBNpBRlBilBzqB0pB,v115@GhA8HeB8FeD8EeE8JedFJvhFRhB3iBqqBTmB0pBOpB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBNpBzlBilBRvB,v115@GhA8HeB8FeD8EeE8Je2FJvhFRhB3iBNpBcrBTqB6pB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB
OJSTZOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJSTZOL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OJSTOIL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OJSTOIZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSTOLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJSTOLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJSTOZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSTOZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJSITLZ,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
OJSITLO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OJSITZL,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
OJSITZO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OJSITOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OJSITOZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OJSILTZ,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
OJSILTO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
OJSILZT,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X
OJSILZO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSILOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
OJSILOZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSIZTL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OJSIZTO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OJSIZLT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
OJSIZLO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSIZOT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSIZOL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSIOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSIOTZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OJSIOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSIOLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSIOZT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSIOZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSLTIZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
OJSLTIO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
OJSLTZI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OJSLTZO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OJSLTOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OJSLTOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OJSLITZ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O
OJSLITO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OJSLIZT,X,X,X,X,X,X,O,O,X,X,O,X,X,O,O,O
OJSLIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSLIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OJSLIOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSLZTI,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
OJSLZTO,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
OJSLZIT,X,X,X,X,X,X,O,O,X,X,O,X,X,O,O,O
OJSLZIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSLZOT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJSLZOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSLOTI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OJSLOTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OJSLOIT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OJSLOIZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSLOZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJSLOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSZTIL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OJSZTIO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJSZTLI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJSZTLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJSZTOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJSZTOL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJSZITL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJSZITO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJSZILT,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJSZILO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSZIOT,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJSZIOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSZLTI,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X
OJSZLTO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X
OJSZLIT,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
OJSZLIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSZLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJSZLOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSZOTI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJSZOTL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJSZOIT,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJSZOIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSZOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJSZOLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSOTIL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OJSOTIZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSOTLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJSOTLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJSOTZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSOTZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJSOITL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSOITZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSOILT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSOILZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSOIZT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSOIZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJSOLTI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OJSOLTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OJSOLIT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OJSOLIZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSOLZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJSOLZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSOZTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSOZTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSOZIT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSOZIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJSOZLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJSOZLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZTILS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTISL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OJZTISO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTIOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTLIS,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZTLIO,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZTLSI,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZTLSO,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZTLOI,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZTLOS,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZTSIL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OJZTSIO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTSLI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZTSLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZTSOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTSOL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTOIS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTOLI,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OJZTOLS,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OJZTOSI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZTOSL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZITLS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZITLO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZITSL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZITSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZITOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZITOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZILTS,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZILTO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZILST,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZILSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZILOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OJZILOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZISTL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZISTO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZISLT,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZISLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZISOT,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZISOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZIOTL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZIOTS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZIOLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OJZIOLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZIOST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZIOSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZLTIS,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZLTIO,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZLTSI,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZLTSO,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZLTOI,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZLTOS,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZLITS,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZLITO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OJZLIST,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZLISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZLIOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OJZLIOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZLSTI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZLSTO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZLSIT,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZLSIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZLSOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJZLSOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZLOTI,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OJZLOTS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OJZLOIT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OJZLOIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZLOST,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJZLOSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZSTIL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OJZSTIO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZSTLI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZSTLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZSTOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZSTOL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZSITL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZSITO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZSILT,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZSILO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZSIOT,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZSIOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZSLTI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZSLTO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZSLIT,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OJZSLIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZSLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJZSLOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZSOTI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZSOTL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZSOIT,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZSOIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZSOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJZSOLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZOTIL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZOTIS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZOTLI,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OJZOTLS,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OJZOTSI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZOTSL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZOITL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZOITS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZOILT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OJZOILS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZOIST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZOISL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZOLTI,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OJZOLTS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OJZOLIT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OJZOLIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZOLST,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJZOLSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZOSTI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZOSTL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZOSIT,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJZOSIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJZOSLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJZOSLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTILS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OJOTILZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTISL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
OJOTISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTIZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTLIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OJOTLIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTLSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJOTLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJOTLZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTSIL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
OJOTSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTSLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJOTSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJOTSZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTSZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJOTZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTZIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTZLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTZLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOTZSL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJOITLS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OJOITLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOITSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOITSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOITZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOITZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOILTS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OJOILTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOILST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OJOILSZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
OJOILZT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
OJOILZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOISTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOISTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOISLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOISLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOISZT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOISZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOIZTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOIZTS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOIZLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
OJOIZLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOIZST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOIZSL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOLTIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OJOLTIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLTSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLITS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OJOLITZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLIST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OJOLISZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OJOLIZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OJOLIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLSTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLSIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLSIZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLSZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJOLSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLZTI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OJOLZTS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OJOLZIT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OJOLZIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOLZST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJOLZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSTIL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OJOSTIZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOSTLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJOSTLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJOSTZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSTZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OJOSITL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOSITZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOSILT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOSILZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOSIZT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOSIZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OJOSLTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSLIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSLIZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSLZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJOSLZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSZTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSZTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSZIT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSZIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOSZLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OJOSZLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOZTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOZTIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOZTLI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
OJOZTLS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
OJOZTSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOZTSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOZITL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOZITS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOZILT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OJOZILS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOZIST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOZISL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OJOZLTI,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
