sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
STOZSIJ,O,X,O,X,X,X,O,X,X,X,O,O,X
STOZSLI,O,O,O,X,X,X,X,X,X,X,O,O,X
STOZSLJ,O,X,O,X,X,X,O,X,X,O,O,O,X
STOZSJI,O,X,O,X,O,X,O,X,X,X,O,O,X
STOZSJL,O,X,O,X,O,X,O,X,X,X,O,O,X
SITLJSZ,X,O,X,O,X,X,X,X,X,X,X,O,X
SITLJSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLJZS,X,O,X,O,X,O,X,X,X,X,X,X,X
SITLJZO,X,O,X,O,X,O,X,X,X,X,X,X,X
SITLJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLJOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SITLSJZ,X,O,X,O,X,X,X,X,X,X,X,O,X
SITLSJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLSZJ,X,O,X,O,X,X,X,X,X,X,X,O,X
SITLSZO,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLSOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLZJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLZJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLZSJ,X,O,X,O,X,X,X,X,X,X,X,O,X
SITLZSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLZOJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SITLZOS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLOJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLOJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SITLOSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SITLOZJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SITLOZS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITJLSZ,X,O,X,O,X,X,X,X,X,X,X,O,X
SITJLSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SITJLZS,X,O,X,O,X,O,X,X,X,X,X,X,X
SITJLZO,X,O,X,O,X,O,X,X,X,X,X,X,X
SITJLOS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITJLOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SITJSLZ,O,X,X,X,O,X,X,X,X,X,X,O,X
SITJSLO,O,X,X,X,O,X,X,X,X,X,X,O,X
SITJSZL,O,X,X,X,O,O,X,X,X,X,X,O,O
SITJSZO,O,X,X,O,O,O,X,X,X,X,X,O,O
SITJSOL,O,X,X,X,O,X,O,X,X,X,X,X,X
SITJSOZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SITJZLS,X,O,X,O,X,O,X,X,X,X,X,X,X
SITJZLO,X,O,X,O,X,O,X,X,X,X,X,X,X
SITJZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
SITJZSO,X,X,X,X,X,O,X,X,X,X,X,O,X
SITJZOL,X,O,X,O,X,O,X,X,X,X,X,X,X
SITJZOS,X,X,X,X,X,O,X,X,X,X,X,X,X
SITJOLS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITJOLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SITJOSL,O,X,X,X,O,X,O,X,X,X,X,X,X
SITJOSZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SITJOZL,X,O,X,O,X,O,X,X,X,X,X,X,X
SITJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X
SITSLJZ,O,O,X,O,X,X,X,X,X,X,X,O,X
SITSLJO,O,O,X,O,X,X,X,X,X,X,X,O,X
SITSLZJ,O,O,X,O,X,X,X,X,X,X,X,O,X
SITSLZO,O,O,X,O,X,X,X,X,X,X,X,O,X
SITSLOJ,O,O,X,O,X,X,X,X,X,X,X,O,X
SITSLOZ,O,O,X,O,X,X,X,X,X,X,X,O,X
SITSJLZ,O,X,X,X,O,X,X,X,X,X,X,O,X
SITSJLO,O,X,X,X,O,X,X,X,X,X,X,O,X
SITSJZL,O,X,X,X,O,O,X,X,X,X,X,O,O
SITSJZO,O,X,X,O,O,O,X,X,X,X,X,O,O
SITSJOL,O,X,X,X,O,X,O,X,X,X,X,X,X
SITSJOZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SITSZLJ,O,O,X,O,X,X,X,X,X,X,X,O,X
SITSZLO,O,O,X,O,X,X,X,X,X,X,O,O,X
SITSZJL,O,X,X,X,X,X,X,X,X,X,O,O,O
SITSZJO,O,X,X,O,X,X,X,X,X,X,O,O,O
SITSZOL,O,O,X,O,X,X,X,X,X,X,O,X,X
SITSZOJ,O,X,X,O,X,X,X,X,X,X,O,O,X
SITSOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X
SITSOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
SITSOJL,O,X,X,X,O,X,O,X,X,X,X,X,X
SITSOJZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SITSOZL,O,O,X,O,X,X,X,X,X,X,O,X,X
SITSOZJ,O,X,X,O,X,X,X,X,X,X,O,O,X
SITZLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITZLJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SITZLSJ,X,O,X,O,X,X,X,X,X,X,X,O,X
SITZLSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SITZLOJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SITZLOS,X,O,X,O,X,X,X,X,X,X,O,X,X
SITZJLS,X,O,X,O,X,O,X,X,X,X,X,X,X
SITZJLO,X,O,X,O,X,O,X,X,X,X,X,X,X
SITZJSL,X,X,X,X,X,O,X,X,X,X,X,O,X
SITZJSO,X,X,X,X,X,O,X,X,X,X,X,O,X
SITZJOL,X,O,X,O,X,O,X,X,X,X,X,X,X
SITZJOS,X,X,X,X,X,O,X,X,X,X,O,X,X
SITZSLJ,O,O,X,O,X,X,X,X,X,X,X,O,X
SITZSLO,O,O,X,O,X,X,X,X,X,X,O,O,X
SITZSJL,O,X,X,X,X,X,X,X,X,X,O,O,O
SITZSJO,O,X,X,O,X,X,X,X,X,X,O,O,O
SITZSOL,O,O,X,O,X,X,X,X,X,X,O,X,X
SITZSOJ,O,X,X,O,X,X,X,X,X,X,O,O,X
SITZOLJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SITZOLS,X,O,X,O,X,X,X,X,X,X,O,X,X
SITZOJL,X,O,X,O,X,O,X,X,X,X,X,X,X
SITZOJS,X,X,X,X,X,O,X,X,X,X,O,X,X
SITZOSL,O,O,X,O,X,X,X,X,X,X,O,X,X
SITZOSJ,O,X,X,O,X,X,X,X,X,X,O,O,X
SITOLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITOLJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SITOLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SITOLSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SITOLZJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SITOLZS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITOJLS,X,O,X,O,X,X,X,X,X,X,X,X,X
SITOJLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SITOJSL,O,X,X,X,O,X,O,X,X,X,X,X,X
SITOJSZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SITOJZL,X,O,X,O,X,O,X,X,X,X,X,X,X
SITOJZS,X,X,X,X,X,O,X,X,X,X,X,X,X
SITOSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X
SITOSLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
SITOSJL,O,X,X,X,O,X,O,X,X,X,X,X,X
SITOSJZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SITOSZL,O,O,X,O,X,X,X,X,X,X,O,X,X
SITOSZJ,O,X,X,O,X,X,X,X,X,X,O,O,X
SITOZLJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SITOZLS,X,O,X,O,X,X,X,X,X,X,O,X,X
SITOZJL,X,O,X,O,X,O,X,X,X,X,X,X,X
SITOZJS,X,X,X,X,X,O,X,X,X,X,O,X,X
SITOZSL,O,O,X,O,X,X,X,X,X,X,O,X,X
SITOZSJ,O,X,X,O,X,X,X,X,X,X,O,O,X
SILTJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTJSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTJZS,X,O,X,O,X,O,X,X,X,X,X,X,X
SILTJZO,X,O,X,O,X,O,X,X,X,X,X,X,X
SILTJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTJOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SILTSJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTSJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTSZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTSZO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTSOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTZJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTZJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTZSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTZOJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SILTZOS,X,O,X,O,X,X,X,X,O,X,X,X,X
SILTOJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTOJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SILTOSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILTOZJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SILTOZS,X,O,X,O,X,X,X,X,O,X,X,X,X
SILJTSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILJTSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILJTZS,X,O,X,O,X,O,X,X,X,X,X,X,X
SILJTZO,X,O,X,O,X,O,X,X,X,X,X,X,X
SILJTOS,X,O,X,O,X,X,X,X,X,X,X,X,X
SILJTOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SILJSTZ,X,X,X,O,O,X,X,O,X,X,X,X,X
SILJSTO,X,X,X,O,O,X,X,O,X,X,X,X,X
SILJSZT,X,X,X,O,X,X,X,O,X,X,X,X,O
SILJSZO,X,X,X,O,X,X,X,X,X,X,X,X,X
SILJSOT,X,X,X,O,O,X,X,X,X,X,X,X,X
SILJSOZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SILJZTS,X,O,X,O,X,O,X,X,X,X,X,X,X
SILJZTO,X,O,X,O,X,O,X,X,X,X,X,X,X
SILJZST,X,X,X,O,X,O,X,X,X,X,X,X,X
SILJZSO,X,X,X,O,X,O,X,X,X,X,X,X,X
SILJZOT,X,O,X,O,X,O,X,X,O,X,X,X,X
SILJZOS,X,X,X,O,X,O,X,X,O,X,X,X,X
SILJOTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SILJOTZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SILJOST,X,X,X,O,O,X,X,X,X,X,X,X,X
SILJOSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SILJOZT,X,O,X,O,X,O,X,X,O,X,X,X,X
SILJOZS,X,X,X,O,X,O,X,X,O,X,X,X,X
SILSTJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILSTJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILSTZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILSTZO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILSTOJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILSTOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILSJTZ,X,X,X,O,O,X,X,O,X,X,X,X,X
SILSJTO,X,X,X,O,O,X,X,O,X,X,X,X,X
SILSJZT,X,X,X,O,X,X,X,O,X,X,X,X,O
SILSJZO,X,X,X,O,X,X,X,X,X,X,X,X,X
SILSJOT,X,X,X,O,O,X,X,X,X,X,X,X,X
SILSJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SILSZTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILSZTO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILSZJT,X,X,X,O,X,X,X,O,X,X,X,X,O
SILSZJO,X,X,X,O,X,X,X,X,X,X,X,X,X
SILSZOT,X,O,X,O,X,X,X,X,O,X,X,X,X
SILSZOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SILSOTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILSOTZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILSOJT,X,X,X,O,O,X,X,X,X,X,X,X,X
SILSOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SILSOZT,X,O,X,O,X,X,X,X,O,X,X,X,X
SILSOZJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SILZTJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SILZTJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILZTSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILZTSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILZTOJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SILZTOS,X,O,X,O,X,X,X,X,O,X,X,X,X
SILZJTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SILZJTO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILZJST,X,X,X,O,X,X,X,X,X,X,X,X,X
SILZJSO,X,X,X,O,X,X,X,X,X,X,X,X,X
SILZJOT,X,O,X,O,X,X,X,X,O,X,X,X,X
SILZJOS,X,X,X,O,X,X,X,X,O,X,X,X,X
SILZSTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILZSTO,X,O,X,O,X,X,X,X,X,X,X,X,X
SILZSJT,X,X,X,O,X,X,X,O,X,X,X,X,O
SILZSJO,X,X,X,O,X,X,X,X,X,X,X,X,X
SILZSOT,X,O,X,O,X,X,X,X,O,X,X,X,X
SILZSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SILZOTJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SILZOTS,X,O,X,O,X,X,X,X,O,X,X,X,X
SILZOJT,X,O,X,O,X,X,X,X,O,X,X,X,X
SILZOJS,X,X,X,O,X,X,X,X,O,X,X,X,X
SILZOST,X,O,X,O,X,X,X,X,O,X,X,X,X
SILZOSJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SILOTJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SILOTJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SILOTSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILOTSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILOTZJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SILOTZS,X,O,X,O,X,X,X,X,O,X,X,X,X
SILOJTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SILOJTZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SILOJST,X,X,X,O,O,X,X,X,X,X,X,X,X
SILOJSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SILOJZT,X,O,X,O,X,O,X,X,O,X,X,X,X
SILOJZS,X,X,X,O,X,O,X,X,O,X,X,X,X
SILOSTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILOSTZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SILOSJT,X,X,X,O,O,X,X,X,X,X,X,X,X
SILOSJZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SILOSZT,X,O,X,O,X,X,X,X,O,X,X,X,X
SILOSZJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SILOZTJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SILOZTS,X,O,X,O,X,X,X,X,O,X,X,X,X
SILOZJT,X,O,X,O,X,X,X,X,O,X,X,X,X
SILOZJS,X,X,X,O,X,X,X,X,O,X,X,X,X
SILOZST,X,O,X,O,X,X,X,X,O,X,X,X,X
SILOZSJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SIJTLSZ,X,O,X,O,X,X,X,X,X,X,X,O,X
SIJTLSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SIJTLZS,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJTLZO,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJTLOS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIJTLOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJTSLZ,O,X,X,X,O,X,X,X,X,X,X,O,X
SIJTSLO,O,X,X,X,O,X,X,X,X,X,X,O,X
SIJTSZL,O,X,X,X,O,O,X,X,X,X,X,O,O
SIJTSZO,O,X,X,O,O,O,X,X,X,X,X,O,O
SIJTSOL,O,X,X,X,O,X,O,X,X,X,X,X,X
SIJTSOZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SIJTZLS,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJTZLO,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJTZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
SIJTZSO,X,X,X,X,X,O,X,X,X,X,X,O,X
SIJTZOL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJTZOS,X,X,X,X,X,O,X,X,X,X,X,X,X
SIJTOLS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIJTOLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJTOSL,O,X,X,X,O,X,O,X,X,X,X,X,X
SIJTOSZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SIJTOZL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJTOZS,X,X,X,X,X,O,X,X,X,X,X,X,X
SIJLTSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SIJLTSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SIJLTZS,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJLTZO,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJLTOS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIJLTOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJLSTZ,X,X,X,O,O,X,X,O,X,X,X,X,X
SIJLSTO,X,X,X,O,O,X,X,O,X,X,X,X,X
SIJLSZT,X,X,X,O,X,X,X,O,X,X,X,X,O
SIJLSZO,X,X,X,O,X,X,X,X,X,X,X,X,X
SIJLSOT,X,X,X,O,O,X,X,X,X,X,X,X,X
SIJLSOZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SIJLZTS,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJLZTO,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJLZST,X,X,X,O,X,O,X,X,X,X,X,X,X
SIJLZSO,X,X,X,O,X,O,X,X,X,X,X,X,X
SIJLZOT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJLZOS,X,X,X,O,X,O,X,X,X,X,X,X,X
SIJLOTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIJLOTZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJLOST,X,X,X,O,O,X,X,X,X,X,X,X,X
SIJLOSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SIJLOZT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJLOZS,X,X,X,O,X,O,X,X,X,X,X,X,X
SIJSTLZ,O,X,X,X,O,X,X,X,X,X,X,O,X
SIJSTLO,O,X,X,X,O,X,X,X,X,X,X,O,X
SIJSTZL,O,X,X,X,O,O,X,X,X,X,X,O,O
SIJSTZO,O,X,X,O,O,O,X,X,X,X,X,O,O
SIJSTOL,O,X,X,X,O,X,X,X,X,X,X,X,X
SIJSTOZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SIJSLTZ,X,X,X,X,O,X,X,O,X,X,X,X,X
SIJSLTO,X,X,X,X,O,X,X,O,X,X,X,X,X
SIJSLZT,X,X,X,X,X,X,X,O,X,X,X,X,O
SIJSLZO,X,X,X,X,X,X,X,X,X,X,X,X,X
SIJSLOT,X,X,X,X,O,X,X,X,X,X,X,X,X
SIJSLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
SIJSZTL,O,X,X,X,O,O,X,X,X,X,X,O,O
SIJSZTO,O,X,O,O,O,O,X,X,X,X,X,O,O
SIJSZLT,X,X,X,X,X,O,X,O,X,X,X,X,O
SIJSZLO,X,X,O,X,X,O,X,X,X,X,X,X,X
SIJSZOT,O,X,O,O,O,O,X,X,X,X,X,X,O
SIJSZOL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIJSOTL,O,X,X,X,O,X,X,X,X,X,X,X,X
SIJSOTZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SIJSOLT,X,X,X,X,O,X,X,X,X,X,X,X,X
SIJSOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X
SIJSOZT,O,X,O,O,O,O,X,X,X,X,X,X,O
SIJSOZL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIJZTLS,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJZTLO,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJZTSL,X,X,X,X,X,O,X,X,X,X,X,X,X
SIJZTSO,X,X,O,X,X,O,O,X,X,X,X,X,X
SIJZTOL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJZTOS,X,X,O,X,X,O,O,X,X,X,X,X,X
SIJZLTS,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJZLTO,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJZLST,X,X,X,O,X,O,X,X,X,X,X,X,X
SIJZLSO,X,X,O,O,X,O,X,X,X,X,X,X,X
SIJZLOT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJZLOS,X,X,O,O,X,O,X,X,X,X,X,X,X
SIJZSTL,X,X,X,X,O,O,X,X,X,X,X,X,O
SIJZSTO,X,X,O,X,O,O,X,X,X,X,X,X,O
SIJZSLT,X,X,X,X,X,O,X,X,X,X,X,X,O
SIJZSLO,X,X,O,X,X,O,X,X,X,X,X,X,X
SIJZSOT,X,X,O,X,O,O,X,X,X,X,X,X,O
SIJZSOL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIJZOTL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJZOTS,X,X,O,X,X,O,O,X,X,X,X,X,X
SIJZOLT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJZOLS,X,X,O,O,X,O,X,X,X,X,X,X,X
SIJZOST,X,X,O,X,O,O,X,X,X,X,X,X,X
SIJZOSL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIJOTLS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIJOTLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJOTSL,O,X,X,X,O,X,O,X,X,X,X,X,X
SIJOTSZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SIJOTZL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJOTZS,X,X,O,X,X,O,X,X,X,X,X,X,X
SIJOLTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIJOLTZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJOLST,X,X,X,O,O,X,X,X,X,X,X,X,X
SIJOLSZ,X,X,O,O,X,X,X,X,X,X,X,X,X
SIJOLZT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJOLZS,X,X,O,O,X,O,X,X,X,X,X,X,X
SIJOSTL,O,X,X,X,O,X,X,X,X,X,X,X,X
SIJOSTZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SIJOSLT,X,X,X,X,O,X,X,X,X,X,X,X,X
SIJOSLZ,X,X,O,X,X,X,X,X,X,X,X,X,X
SIJOSZT,O,X,O,O,O,O,X,X,X,X,X,X,O
SIJOSZL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIJOZTL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJOZTS,X,X,O,X,X,O,O,X,X,X,X,X,X
SIJOZLT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIJOZLS,X,X,O,O,X,O,X,X,X,X,X,X,X
SIJOZST,X,X,O,X,O,O,X,X,X,X,X,X,X
SIJOZSL,X,X,O,X,X,O,X,X,X,X,X,X,X
SISTLJZ,O,O,X,O,X,X,X,X,X,X,X,O,X
SISTLJO,O,O,X,O,X,X,X,X,X,X,X,O,X
SISTLZJ,O,O,X,O,X,X,X,X,X,X,X,O,X
SISTLZO,O,O,X,O,X,X,X,X,X,X,X,O,X
SISTLOJ,O,O,X,O,X,X,X,X,X,X,X,O,X
SISTLOZ,O,O,X,O,X,X,X,X,X,X,X,O,X
SISTJLZ,O,X,X,X,O,X,X,X,X,X,X,O,X
SISTJLO,O,X,X,X,O,X,X,X,X,X,X,O,X
SISTJZL,O,X,X,X,O,O,X,X,X,X,X,O,O
SISTJZO,O,X,X,O,O,O,X,X,X,X,X,O,O
SISTJOL,O,X,X,X,O,X,X,X,X,X,X,X,X
SISTJOZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SISTZLJ,O,O,X,O,X,X,X,X,X,X,X,O,X
SISTZLO,O,O,X,O,X,X,X,X,X,X,O,O,X
SISTZJL,O,X,X,X,X,X,X,X,X,X,O,O,O
SISTZJO,O,X,X,O,X,X,X,X,X,X,O,O,O
SISTZOL,O,O,X,O,X,X,X,X,X,X,O,X,X
SISTZOJ,O,X,X,O,X,X,X,X,X,X,O,O,X
SISTOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X
SISTOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
SISTOJL,O,X,X,X,O,X,X,X,X,X,X,X,X
SISTOJZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SISTOZL,O,O,X,O,X,X,X,X,X,X,O,X,X
SISTOZJ,O,X,X,O,X,X,X,X,X,X,O,O,X
SISLTJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLTJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLTZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLTZO,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLTOJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLTOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLJTZ,X,X,X,O,O,X,X,O,X,X,X,X,X
SISLJTO,X,X,X,O,O,X,X,O,X,X,X,X,X
SISLJZT,X,X,X,O,X,X,X,O,X,X,X,X,O
