sequence,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlBumB3iBtqBarB,v115@GhA8HeD8DeF8CeE8JeT/IvhEihB3iB9qBcrBOqB,v115@GhA8HeD8DeF8CeE8Jei/IvhERhB3iBTmB0qBFqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBlhB3iBxqB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEdmBRiBCnB0qBOqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0hBliBxqBKqBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlB0hBliBCrBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBxlB0lBlmB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEamBumB3iB0qBNqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBRiBNqBCnBerB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBNqBGmBimB0qB,v115@GhA8HeD8DeF8CeE8JeiBJvhE3iBxkBcrB9qBmpB,v115@GhA8HeD8DeF8CeE8Jex/IvhEihB3iB9qBcrBmpB,v115@GhA8HeD8DeF8CeE8JeT/IvhExgBliB3mB0qBiqB
TLJSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJOISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSIJZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLSIZOJ,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TLSIOJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIOZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O
TLSJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSZIJO,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZIOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TLSZJIO,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZJOI,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZOIJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TLSZOJI,X,O,X,X,X,X,X,X,X,O,X,X,O,O
TLSOIJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSOIZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O
TLSOJIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSOZIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLSOZJI,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TLZIJSO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLZIJOS,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLZISJO,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TLZISOJ,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TLZIOJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TLZIOSJ,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLZJISO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLZJIOS,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLZJSIO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLZJSOI,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLZJOIS,X,O,X,X,O,X,X,X,X,O,X,X,O,X
