sequence,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlBumB3iBtqBarB,v115@GhA8HeD8DeF8CeE8JeT/IvhEihB3iB9qBcrBOqB,v115@GhA8HeD8DeF8CeE8Jei/IvhERhB3iBTmB0qBFqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBlhB3iBxqB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEdmBRiBCnB0qBOqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0hBliBxqBKqBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlB0hBliBCrBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBxlB0lBlmB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEamBumB3iB0qBNqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBRiBNqBCnBerB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBNqBGmBimB0qB,v115@GhA8HeD8DeF8CeE8JeiBJvhE3iBxkBcrB9qBmpB,v115@GhA8HeD8DeF8CeE8Jex/IvhEihB3iB9qBcrBmpB,v115@GhA8HeD8DeF8CeE8JeT/IvhExgBliB3mB0qBiqB
JLOZTSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZITS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTIZLO,O,X,X,O,X,X,X,X,X,X,X,X,O,X
JSTIZOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTIOLZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JSTIOZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JSTLIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLOIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTLOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTZILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JSTZIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSTZLIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JSTZLOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JSTZOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSTZOLI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
JSTOILZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JSTOIZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JSTOLIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTOLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTOZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JSTOZLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
JSITLZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSITZLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSITZOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSITOLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSITOZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JSILTZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILTOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILZTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILZOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSILOTZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSILOZT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JSIZTLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIZLTO,X,X,X,O,X,X,X,X,O,X,X,O,X,X
JSIZLOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSIZOTL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSIZOLT,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSIOTLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSIOTZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JSIOLTZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSIOLZT,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSIOZTL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSIOZLT,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSLTIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLITZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLITOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLIOZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLZTIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLZTOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLZITO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLZIOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLZOIT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLOIZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLOZTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JSZTIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSZTLIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JSZTLOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JSZTOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSZTOLI,X,O,X,X,X,X,X,X,X,X,X,X,O,O
JSZITLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZILTO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSZILOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
JSZIOLT,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZLTIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JSZLTOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JSZLITO,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JSZLIOT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSZLOTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JSZLOIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSZOTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JSZOTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JSZOITL,O,X,O,X,X,X,X,O,X,X,X,X,X,O
JSZOILT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZOLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JSZOLIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSOTILZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JSOTIZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JSOTLIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JSOTZLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
JSOITLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSOITZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JSOILTZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSOILZT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JSOIZTL,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JSOIZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JSOLTIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOLIZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOLZTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JSOZTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JSOZITL,O,X,O,X,X,X,X,O,X,X,X,X,X,O
JSOZILT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOZLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JSOZLIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZTILSO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTILOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTISLO,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JZTISOL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTIOLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTIOSL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTLISO,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZTLIOS,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZTLSIO,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZTLSOI,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZTLOIS,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZTLOSI,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZTSILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTSIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZTSLIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JZTSLOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JZTSOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZTSOLI,X,O,X,X,X,X,X,X,X,X,X,X,O,O
JZTOILS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTOISL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTOLIS,X,O,X,X,O,X,X,X,X,X,X,X,O,X
JZTOLSI,X,O,X,X,O,X,X,X,X,X,X,X,O,X
JZTOSIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZTOSLI,X,O,X,X,X,X,X,X,X,X,X,X,O,O
JZITLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZITSOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZILTOS,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZILSTO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZILSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISTOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,X,X,X,X,X,O,X,X,O,X,X,O,X,X
JZISLOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISOTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZISOLT,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZIOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZIOSLT,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLTISO,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZLTIOS,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZLTSIO,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZLTSOI,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZLTOIS,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZLTOSI,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JZLITSO,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLITOS,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLISTO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZLISOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLIOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,X,O,X,X,X,X,X,X,O,X,X,X,O,X
JZLSTOI,X,O,X,X,X,X,X,X,O,X,X,X,O,X
JZLSITO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZLSIOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLSOIT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLOTSI,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLOITS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOIST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLOSIT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZSTIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZSTLIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JZSTLOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JZSTOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZSTOLI,X,O,X,X,X,X,X,X,X,X,X,X,O,O
JZSITLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSILTO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZSILOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
JZSIOLT,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSLTIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JZSLTOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
JZSLITO,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZSLIOT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZSLOTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JZSLOIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZSOTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JZSOTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZSOITL,O,X,O,X,X,X,X,O,X,X,X,X,X,O
JZSOILT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSOLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JZSOLIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZOTILS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOTISL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOTLIS,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JZOTLSI,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JZOTSIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JZOTSLI,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZOITLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOITSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOILTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOILST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOISLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOLTIS,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZOLTSI,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZOLITS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLIST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOLSIT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JZOSTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZOSITL,O,X,O,X,X,X,X,O,X,X,X,X,X,O
JZOSILT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOSLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JZOSLIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JOTILSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JOTILZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JOTISZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTIZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTLIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTLSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTLZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTLZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTSILZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JOTSIZL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
JOTSLIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTSLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTSZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JOTSZLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
JOTZILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZISL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZLIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTZLSI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTZSIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JOTZSLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
JOITLSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JOITLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOITSLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOITSZL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOITZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOITZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOILTSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JOILTZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOILSTZ,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JOILSZT,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JOILZTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOILZST,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOISTLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOISTZL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOISLTZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOISLZT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JOISZTL,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JOISZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JOIZTLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOIZTSL,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOIZLTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOIZLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOIZSTL,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JOIZSLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JOLTISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLITSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLITZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOLISZT,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JOLIZTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLIZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLSIZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOLSZTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLZTSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLZITS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLZIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTILZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JOSTIZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JOSTLIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSTLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSTZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JOSTZLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
JOSITLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOSITZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JOSILTZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOSILZT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JOSIZTL,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JOSIZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JOSLTIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLITZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSLIZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSLZTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JOSZTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JOSZITL,O,X,O,X,X,X,X,O,X,X,X,X,X,O
JOSZILT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSZLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JOSZLIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JOZTILS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOZTISL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOZTLIS,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOZTLSI,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOZTSIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JOZTSLI,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JOZITLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZITSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZILTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZILST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZISTL,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZISLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZLTIS,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JOZLTSI,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JOZLITS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZLIST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZLSTI,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZLSIT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZSTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JOZSTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JOZSITL,O,X,O,X,X,X,X,O,X,X,X,X,X,O
JOZSILT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZSLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JOZSLIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
STILJZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STILJOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STILZJO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
STILZOJ,X,X,O,X,X,O,O,X,X,X,X,X,O,X
STILOJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STILOZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,O
STIJLZO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
STIJLOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
STIJZLO,O,X,X,O,X,O,X,X,X,X,X,X,O,X
STIJZOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
