sequence,v115@RhB8DeB8AeC8CeE8JeT/IvhFihB3iBcoB9qBcrBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlBumB3iBcoBtqBarB,v115@RhB8DeB8AeC8CeE8Jei/IvhFRhB3iBcoBTmB0qBFqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gBlhB3iBcoBxqB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhFdmBRiBcoBCnB0qBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlB0hBliBcoBCrBfrB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gB0hBSoBNqBmnBXrB,v115@RhB8DeB8AeC8CeE8JeT/IvhFamBumB3iBcoB0qBNqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBxlB0lBlmB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBNqBGmBimB0qB,v115@RhB8DeB8AeC8CeE8JeT/IvhFxgBliBcoB3mB0qBiqB,v115@RhB8DeB8AeC8CeE8Jex/IvhFihB3iBcoB9qBcrBmpB,v115@RhB8DeB8AeC8CeE8JeiBJvhF3iBcoBxkBcrB9qBmpB
ZTIZOLS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTIZOJL,O,O,X,O,X,X,X,X,X,X,X,X,X
ZTIZOJS,O,O,X,O,X,X,X,X,X,X,X,X,X
ZTIZOSL,O,X,X,X,X,X,X,X,X,X,O,O,X
ZTIZOSJ,O,O,X,O,X,X,X,X,X,X,O,X,X
ZTIOLJS,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTIOLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIOLSJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTIOLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X
ZTIOLZJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTIOLZS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTIOJLS,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTIOJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIOJSL,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTIOJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIOJZL,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIOJZS,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIOSLJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTIOSLZ,X,X,X,X,X,O,X,X,X,X,O,X,X
ZTIOSJL,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTIOSJZ,X,O,X,O,X,X,X,X,X,X,O,X,X
ZTIOSZL,O,X,X,X,X,X,X,X,X,X,O,O,X
ZTIOSZJ,O,O,X,O,X,X,X,X,X,X,O,X,X
ZTIOZLJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTIOZLS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTIOZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
ZTIOZJS,O,O,X,O,X,X,X,X,X,X,X,X,X
ZTIOZSL,O,X,X,X,X,X,X,X,X,X,O,O,X
ZTIOZSJ,O,O,X,O,X,X,X,X,X,X,O,X,X
ZTLIJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLIJSO,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLIJZS,X,O,X,X,X,X,X,X,X,X,X,O,X
ZTLIJZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLIJOS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLIJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLISJZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLISJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLISZJ,X,X,X,X,X,O,X,X,X,X,X,O,X
ZTLISZO,X,X,X,X,X,O,X,X,X,X,X,O,X
ZTLISOJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLISOZ,X,X,X,X,X,O,X,X,X,X,X,X,X
ZTLIZJS,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTLIZJO,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTLIZSJ,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTLIZSO,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTLIZOJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTLIZOS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTLIOJS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLIOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLIOSJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLIOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X
ZTLIOZJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTLIOZS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTLJISZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLJISO,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLJIZS,X,O,X,X,X,X,X,X,X,X,X,O,X
ZTLJIZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLJIOS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLJIOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLJSIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLJSIO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLJSZI,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLJSOI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTLJSOZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTLJZIS,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTLJZIO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTLJZSI,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTLJZSO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTLJZOI,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTLJZOS,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTLJOIS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLJOIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
